Student_ID,Course_Year,Attendance_Percentage,Assignment_Submission_Rate,Quiz_Average_Score,Midterm_Score,Previous_GPA,Late_Submission_Count,Missing_Assignment_Count,Study_Plan_Adherence,Academic_Risk_Level
STU-0EAEB2E8,2,76.35,42.02,35.15,48.41,3.59,3.0,3.0,79.61,Medium Risk
STU-5C0F7225,1,69.88,38.63,82.98,24.43,2.07,4.0,4.0,70.05,Medium Risk
STU-A2A45DA9,2,83.69,44.27,28.15,59.4,1.58,1.0,3.0,54.59,Medium Risk
STU-6CE5CBFA,1,50.28,89.93,42.66,50.83,2.59,1.0,5.0,92.14,Medium Risk
STU-B32820FA,3,92.09,61.44,45.68,20.99,3.43,9.0,2.0,15.31,Medium Risk
STU-243DF0EB,4,69.54,32.63,65.05,69.92,2.06,8.0,5.0,19.06,High Risk
STU-38B0F145,1,74.23,81.96,82.14,11.84,3.54,5.0,4.0,56.35,Medium Risk
STU-C1162DF2,1,40.85,36.68,34.62,21.37,1.98,2.0,7.0,36.02,High Risk
STU-0C63A38B,4,55.12,53.0,32.49,73.01,3.21,1.0,3.0,51.58,Medium Risk
STU-F6665D2A,3,62.74,65.45,33.86,57.51,1.35,8.0,3.0,39.41,High Risk
STU-1275313B,1,61.9,66.76,47.44,35.37,1.19,6.0,3.0,34.66,High Risk
STU-81098D0D,2,85.59,25.52,60.48,26.22,3.21,8.0,6.0,93.46,High Risk
STU-ED7898E4,1,53.35,86.94,16.14,67.81,2.11,7.0,5.0,33.41,High Risk
STU-14764F77,1,46.84,58.35,81.33,28.5,2.18,7.0,4.0,22.78,Medium Risk
STU-30646618,4,72.87,99.14,93.77,98.61,2.72,4.0,7.0,34.19,Medium Risk
STU-14958D74,3,74.98,77.4,86.7,88.24,3.96,6.0,6.0,51.31,Medium Risk
STU-D22E9431,3,42.9,99.41,18.16,21.89,1.51,4.0,1.0,33.98,Medium Risk
STU-A2BEF6FD,1,35.16,56.28,59.58,87.32,1.9,9.0,1.0,23.31,Medium Risk
STU-71075E03,1,94.65,31.26,84.19,41.05,2.95,6.0,2.0,37.84,Medium Risk
STU-33CE727D,4,40.18,78.18,44.25,54.1,3.1,5.0,4.0,92.05,Medium Risk
STU-5AF0B4F5,1,93.36,82.22,91.25,22.85,3.12,3.0,4.0,78.98,Low Risk
STU-69E6BC7A,2,60.95,88.23,90.38,20.67,2.79,6.0,0.0,34.83,Low Risk
STU-CA4BA00B,1,77.45,44.12,27.04,87.89,2.76,5.0,3.0,66.61,Medium Risk
STU-6F4A1C66,3,47.06,60.85,56.96,66.69,1.44,6.0,7.0,87.77,High Risk
STU-89251070,1,88.55,88.6,17.18,51.44,3.5,9.0,2.0,97.53,Medium Risk
STU-4B0C5A22,2,46.71,89.18,38.96,13.25,1.03,0.0,7.0,21.31,High Risk
STU-7B752EBC,4,60.12,22.05,84.01,92.98,2.25,8.0,4.0,32.32,Medium Risk
STU-5F89D9CD,3,50.47,73.67,97.89,43.85,1.65,9.0,0.0,95.19,Medium Risk
STU-8241B89F,1,89.44,68.13,92.63,47.5,1.31,7.0,0.0,90.21,Medium Risk
STU-8A9D447C,3,90.79,26.67,18.62,36.08,1.96,2.0,4.0,40.42,Medium Risk
STU-AD6A0F71,1,59.18,94.41,93.77,90.22,2.97,0.0,2.0,31.8,Low Risk
STU-84B49368,2,54.98,55.63,84.93,41.01,2.49,1.0,2.0,84.31,Medium Risk
STU-72F2A4AD,3,85.28,73.94,88.75,25.68,3.62,5.0,1.0,23.94,Low Risk
STU-85C34D56,1,92.1,90.62,92.76,55.05,2.8,6.0,7.0,67.69,Medium Risk
STU-A27E0148,2,75.56,30.41,56.5,80.33,1.76,1.0,1.0,92.15,Low Risk
STU-B08B5DCB,3,95.28,88.47,32.95,43.42,2.55,7.0,2.0,30.3,Medium Risk
STU-E85B73C4,4,59.9,77.94,16.79,68.68,1.68,5.0,7.0,25.64,High Risk
STU-85956D7A,2,44.87,87.17,17.0,37.38,1.54,4.0,0.0,69.68,Medium Risk
STU-B0DFF0C3,1,46.68,59.59,69.61,74.78,3.87,4.0,7.0,67.21,Medium Risk
STU-80CDD8E4,2,78.54,22.68,43.67,70.19,2.4,5.0,5.0,20.72,High Risk
